Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1884,12.0833333333,12.1666666667,12.3333333333,12.1666666667,11.5833333333,11.75,11.0833333333,10.5833333333,10.25,10.1666666667,10.0833333333,10.75
1885,11.0,10.8333333333,10.4166666667,10.6666666667,10.9166666667,11.0,11.5833333333,12.25,12.6666666667,12.75,12.5833333333,12.0
1886,12.75,13.1666666667,13.0833333333,12.6666666667,12.6666666667,12.1666666667,11.1666666667,10.75,9.58333333333,9.33333333333,9.33333333333,10.0
1887,9.33333333333,8.91666666667,9.5,9.5,9.5,10.0833333333,10.1666666667,10.4166666667,11.0833333333,11.5833333333,11.8333333333,11.0
1888,11.0,11.0833333333,10.5833333333,11.0833333333,11.3333333333,10.9166666667,11.0,10.6666666667,10.1666666667,9.83333333333,10.25,10.1666666667
1889,10.25,10.3333333333,10.4166666667,9.91666666667,10.0,10.8333333333,10.75,10.9166666667,11.6666666667,11.4166666667,10.5,11.1666666667
1890,11.4166666667,11.0833333333,11.1666666667,11.3333333333,10.75,9.41666666667,9.25,8.83333333333,8.16666666667,7.83333333333,7.83333333333,7.0
1891,6.66666666667,6.75,6.66666666667,7.16666666667,7.91666666667,8.41666666667,9.5,10.1666666667,10.25,10.6666666667,10.8333333333,11.4166666667
1892,11.6666666667,11.6666666667,11.5,10.6666666667,10.0833333333,9.75,9.0,8.58333333333,8.5,8.0,8.66666666667,8.33333333333
1893,8.33333333333,8.25,8.5,9.25,9.16666666667,9.5,9.5,10.0,10.0833333333,11.0,11.0,11.4166666667
1894,10.9166666667,11.3333333333,11.8333333333,11.75,12.1666666667,12.25,12.8333333333,12.8333333333,12.75,12.0,11.25,11.0833333333
1895,11.5,11.25,10.5,10.4166666667,10.25,9.83333333333,9.66666666667,9.41666666667,9.91666666667,9.91666666667,10.0833333333,10.1666666667
1896,9.83333333333,10.3333333333,10.8333333333,10.5,10.6666666667,11.25,11.25,11.6666666667,11.25,12.0,12.3333333333,12.75
1897,13.25,13.1666666667,13.4166666667,13.75,13.25,13.5833333333,13.0,12.3333333333,12.8333333333,13.1666666667,13.0,12.1666666667
1898,11.9166666667,11.25,10.6666666667,10.3333333333,10.5,10.25,10.8333333333,10.6666666667,9.91666666667,9.41666666667,9.58333333333,10.0833333333
1899,10.0,10.4166666667,10.5833333333,10.3333333333,10.75,10.5833333333,10.75,11.1666666667,12.0833333333,12.0,11.6666666667,11.9166666667
